[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
8618 frames: done 257 games, mean reward 0.233, epsilon 0.9, speed 101.14 frames/s
8641 frames: done 258 games, mean reward 0.233, epsilon 0.9, speed 99.0 frames/s
8662 frames: done 259 games, mean reward 0.233, epsilon 0.9, speed 96.59 frames/s
8685 frames: done 260 games, mean reward 0.233, epsilon 0.9, speed 94.95 frames/s
8708 frames: done 261 games, mean reward 0.233, epsilon 0.9, speed 102.36 frames/s
8731 frames: done 262 games, mean reward 0.233, epsilon 0.9, speed 99.13 frames/s
8754 frames: done 263 games, mean reward 0.233, epsilon 0.9, speed 99.0 frames/s
8777 frames: done 264 games, mean reward 0.167, epsilon 0.9, speed 100.54 frames/s
8863 frames: done 265 games, mean reward 0.233, epsilon 0.9, speed 99.05 frames/s
8886 frames: done 266 games, mean reward 0.233, epsilon 0.9, speed 96.43 frames/s
9031 frames: done 267 games, mean reward 0.333, epsilon 0.9, speed 98.66 frames/s
9054 frames: done 268 games, mean reward 0.333, epsilon 0.9, speed 99.21 frames/s
9124 frames: done 269 games, mean reward 0.367, epsilon 0.89, speed 100.85 frames/s
9147 frames: done 270 games, mean reward 0.367, epsilon 0.89, speed 95.54 frames/s
9170 frames: done 271 games, mean reward 0.367, epsilon 0.89, speed 101.04 frames/s
9193 frames: done 272 games, mean reward 0.367, epsilon 0.89, speed 101.33 frames/s
9216 frames: done 273 games, mean reward 0.367, epsilon 0.89, speed 103.73 frames/s
9239 frames: done 274 games, mean reward 0.367, epsilon 0.89, speed 102.31 frames/s
9426 frames: done 275 games, mean reward 0.433, epsilon 0.89, speed 101.21 frames/s
9449 frames: done 276 games, mean reward 0.433, epsilon 0.89, speed 101.09 frames/s
9472 frames: done 277 games, mean reward 0.433, epsilon 0.89, speed 97.76 frames/s
